name,score,addres
AISHIA'S SEAFOOD AND WINGS,98,"4651 HIGHWAY 15 SOUTH  SILOAM  GA, 30665"
Amici Lake Oconee,98,"1101 Parkside Main, Suite 105 Greensboro GA, 30642"
ANITA WHITE CARSON MIDDLE SCHO,100,"1010 SOUTH MAIN STREET GREENSBORO GA, 30642"
Banquet Kitchen@Ritz,98,"One Lake Oconee Trail Greensboro GA, 30642"
Bevelyn's Kitchen @ Durhamtown Plantation,95,"2350 Randolph Church Rd Union Point GA,"
Boswell Park Health and Rehabilaitation,98,"1211 Siloam Road Greensboro GA, 30642"
CAFE 44,97,"1051 VILLAGE PARK DR., SUIT101 Greensboro GA, 30642"
CHINA GARDEN,"92
Follow-Up","6181 LAKE OCONEE PARKWAY GREENSBORO GA, 30642"
China Restaurant,,"124 South Main Street Greensboro GA, 30642"
CJ'S BARBEQUE,,"1031 DOGWOOD ROAD WOODVILLE GA, 30669"
CLUB LEVEL LOUNGE @ RITZ,100,"ONE LAKE OCONEE TRAIL GREENSBORO GA, 30642"
Creek Club Clubhouse,99,"1100 Creek Club Drive Greensboro GA, 30642"
Da Corrado,94,"1061 Village Park Drive Greensboro GA, 30642"
Dairy Queen Grill & Chill,93,"2251 SOUTH MAIN STREET GREENSBORO GA, 30642"
Denny's Restaurant,,"3600 Hwy 77 Greensboro GA, 30642"
DQ GRILL & CHILL,97,"1091 Parkside Main Greensboro GA, 30642"
Eighty 8 Kitchen Cocktails Snack Bar,,"1091 Clubhouse Dr Greensboro GA, 30642"
Eighty 8 Kitchen Cocktails,96,"1091 Clubhouse Dr Greensboro GA, 30642"
"Excell Adult Day Care Center, Inc.",90,"504 MLK, Jr. Drive Greensboro GA, 30642"
FILET STEAK & SEAFOOD,,"1000 PARKSIDE MAIN SUITE 101 GREENSBORO GA, 30642"
Gaby's by the Lake / Ritz Carlton,"99
Follow-Up","1 Lake Oconee Trail Greensboro GA, 30642"
Georgia's/Ritz Carlton,99,"One Lake Oconee Trail Greensboro GA, 30642"
GREENE CO. SENIOR CENTER,99,"1031 SILVER ST GREENSBORO GA, 30642"
Greene County Head Start,100,"502 Martin Luther King Drive Greensboro GA, 30642"
GREENE COUNTY HIGH SCHOOL,99,"1002 SOUTH MAIN STREET GREENSBORO GA, 30642"
Greene County Pre-K,100,"101 East Third Street Greensboro GA, 30642"
Greene Point Health & Rehabilitation Center,99,"1321 Washington Highway Union Point GA, 30669"
GREENSBORO ELEMENTARY SCHOOL,100,"1441 MLK JR. DRIVE GREENSBORO GA, 30642"
Harbor Club,"97
Follow-Up","1041 Harbor Hill Dr Greensboro GA, 30642"
"Heartstrings ""Wank""",92,"118B South Main Street Greensboro GA, 30642"
HOLCOMB'S BAR-B-QUE-WP,94,"7070 Hwy 15 south WHITE PLAINS GA, 30678"
HOLCOMB'S BAR-B-QUE,94,"404 West Broad Street Greensboro GA, 30642"
HUDDLE HOUSE,,"6141 Lake Oconee Parkway Greensboro GA, 30642"
JACKSON'S BAR B Q CORNER,97,"4640 LAMB AVE UNION POINT GA, 30669"
JALISCO MEXICAN GRILL INC,96,"1100 PARKSIDE MAIN SUITE 101 GREENSBORO GA, 30642"
JEREMY'S PLACE,,"1251 E. BROAD STREET GREENSBORO GA, 30642"
Kathy's Cafe,,"1100 Lake Club Drive GREENSBORO GA, 30642"
LAKE CLUB BANQUET,94,"1100 Lake Club Drive Greensboro GA, 30642"
Lake Club Infinity Pool Bar,100,"1100 Lake Club Drive Greensboro GA, 30642"
Lake Country Foods,99,"1121 Planning mill Rd Greensboro GA, 30642"
Lake Oconee Academy,100,"1021 Titan Circle Greensboro GA, 30642"
Lamai Ban Thai Kitchen,98,"4950 Carey Station Road Greensboro GA, 30642"
LINGER LONGER STEAKHOUSE@Ritz,99,"One Lake Oconee Trail GREENSBORO GA, 30642"
LOBBY LOUNGE@Ritz,100,"ONE LAKE OCONEE TRAIL GREENSBORO GA, 30642"
Los Torres Mexican Grill,94,"117 East Broad Street Greensboro GA, 30642"
Luigis Pizza,98,"1010 Market St Greensboro GA, 30642"
MCDONALD'S,,"2331 SOUTH MAIN STREET GREENSBORO GA, 30642"
Oconee Golf Snack Bar,100,"100 LINGER LONGER ROAD GREENSBORO GA, 30642"
Oconee Sweet Sensations & The Grill,93,"1100 Parkside Main GA, Greensboro"
"Penfield Christian Homes, Inc.",98,"1061 Mercer Circle Union Point GA, 30669"
Pickle Barrel Cafe & Sport Bar,94,"1030 Park Ave Greensboro GA, 30642"
PIZZA HUT,95,"2270 SOUTH MAIN STREET GREENSBORO GA, 30642"
Richard's Wine  Bar,99,"1210 Commerce Drive #116 Greensboro GA, 30642"
RITZ EMPLOYEE CAFETERIA,94,"ONE LAKE OCONEE TRAIL GREENSBORO GA, 30642"
Savannah Court of Lake Oconee,,"1061 WILLOW RUN RD GREENSBORO GA, 30642"
Spotlight Theatres,99,"1050 Parkside Main Greensboro GA, 30642"
St. Mary's Good Samaritan Hospital,100,"5401 Lake Oconee Parkway Greensboro GA, 30642"
SUBWAY BY THE LAKE,95,"6329 LINGER LONGER ROAD GREENSBORO GA, 30642"
SUBWAY OF GREENSBORO,"90
Follow-Up","2280 S. MAIN ST. GREENSBORO GA, 30642"
Swamp Camp Services Inc.,100,"1380 MAXEY'S RD Union Point GA, 30669"
TASTEE CHICK,94,"201 EAST BROAD STREET GREENSBORO GA, 30642"
The Boathouse @ Harbor Club,,"3991 Walker Church Rd  GA,"
The Coffee Shop,100,"One Lake Oconee Trail Greensboro GA, 30642"
The Glen @ Lake Oconee,99,"1070 Old Salem rd Greensboro, GA, 30642"
The Landing Clubhouse,94,"1101 Landing Drive GREENSBORO GA, 30642"
The Landing Snackbar,,"1450 Landing Drive Greensboro GA, 30642"
THE NATIONAL CLUBHOUSE,96,"1130 NATIONAL DR. GREENSBORO GA, 30642"
The National Tavern,98,"1145 Nathional Drive Greensboro GA, 30642"
THE YESTERDAY CAFE,,"114 NORTH MAIN STREET GREENSBORO GA, 30642"
UNION POINT ELEMENTARY SCHOOL,100,"1401 HWY 77 NORTH UNION POINT GA, 30669"
WAFFLE HOUSE #799,,"2250 S. MAIN ST. GREENSBORO GA, 30642"
WASHINGTON GRASS INN,100,"2281 FULLER ROAD GREENSBORO GA, 30642"
WENDY'S OLD FASHION HAMBURGERS,98,"2261 S. MAIN ST. GREENSBORO GA, 30642"
ZAXBY'S,93,"2301 S. MAIN ST. GREENSBORO GA, 30642"
