name,score,address
Arby's AES Southeast LLC,91,"4894 Hwy 129 N Jefferson GA, 30549"
ASHLEY'S DONUTS,95,"5641 HWY 129 N Jefferson GA, 30567"
"Barbacolandia, LLC.",,"5641 US Hwy 129 N Pendergrass GA, 30567"
Barn Belly Burgers LLC,97,"5641 US 129 Pendergrass GA, 30567"
Beef 'O'Brady's,95,"1679 Old Pendergrass Road Jefferson GA, 30549"
Bentley Assisted Living at Northminster,90,"50 Sumner Way Jefferson GA, 30549"
Best Western,,"303 Zion Church Rd Braselton GA, 30517"
Beyond Ice Cream/GFR Group LLC,,"5641 US Hwy 129 North Pendergrass  GA, 30567"
Big Oak BBQ,90,"1599 Ila Road Commerce GA, 30529"
Bojangles # 887,90,"4836 HWY 129 North Jefferson GA, 30549"
Bojangles' (Braselton) #964,95,"HWY 53 Braselton GA, 30517"
Bountiful Hills Senior Living,92,"200 Bolton Dr. Commerce GA, 30529"
Braselton Golf Club,,"350 Traditions Way Jefferson GA, 30549"
Brookside Commerce LLC/ DBA Brookside Senior Living Facility,94,"199 West W Gary Road Commerce GA, 30529"
Burger King #12476,97,"5388 U S Highway 129 Jefferson GA, 30549"
Burger King #16792,97,"6095 Highway 124 Hoschton GA, 30548"
Cabin Creek Barbeque Company,93,"199 Memorial Drive Nicholson GA, 30565"
Carriage House Restaurant,,"1235 Athens HWY Jefferson GA, 30549"
China Garden,,"846 Gordon Street Jefferson GA, 30549"
China Panda,90,"1681 Old Pendergrass Road Suite 1400 Jefferson GA, 30549"
Coco Mobil,,"5621 Pendergrass Flea Market Pendergrass GA, 30567"
Coco Rico's,,"5641 Hwy 129 N. Pendergrass GA, 30567"
Cocos Dona Reyna,90,"5641 Hwy 129 N Pendergrass GA, 30567"
Commerce Burgers,,"788 South Broad St Commerce GA, 30529"
Commerce Elementary School,99,"825 Lakeview Drive COMMERCE GA, 30529"
Commerce High School,99,"272 Lakeview Dr Commerce GA, 30529"
COMMERCE MIDDLE SCHOOL,95,"7690 JEFFERSON ROAD COMMERCE GA, 30529"
COMMERCE Primary School,99,"395 MINISH DRIVE COMMERCE GA, 30529"
Commerce Sports Bar & Grill,90,"1650 South Broad St. Commerce GA, 30529"
Cotton Calf,95,"9924 Davis St. Suite 9 Braselton GA, 30517"
Cracker Barrel Old Country Store #588,90,"301 Exchange Way Braselton GA, 30517"
Cream & Shuga,,"140 Mahaffey Street Jefferson GA, 30549"
Dairy Queen,,"463 S. Elm Street Commerce GA, 30529"
Dairy Queen,96,"545 Panther Dr Jefferson GA, 30549"
DBA Dairy Queen ZRP LLC,,"6155 Hwy 53 Braselton GA, 30517"
Domino's Pizza #8896,,"2120 N. Broad Street Commerce GA, 30529"
Domino's Pizza,99,"6072 Hwy 53 Suite A Braselton GA, 30517"
Domino's,99,"1460 Winder Hwy, Unit B  Jefferson GA, 30506"
Dunkin Donuts,"88
Follow-Up","4855 Maysville Rd Commerce GA, 30529"
East Jackson Comprehensive High School,96,"1435 Hoods Mill Rd Commerce GA, 30529"
EAST JACKSON ELEM SCHOOL,99,"1531 HOODS MILL ROAD COMMERCE GA, 30529"
EAST JACKSON MIDDLE SCHOOL,96,"1880 HOODS MILL ROAD COMMERCE GA, 30529"
El Centinela Mexican Restaurant,93,"6072 Highway 53 Block G Braselton GA, 30517"
El Huasteco Mexican Restaurant,,"1875 Winder Hwy Jefferson GA, 30549"
El Jinete #5 Inc.,90,"4932 Hwy 129 N. Jefferson GA, 30549"
El Parian  Mexican Bar & Grill,Follow-Up,"1662 South Broad St. Commerce GA, 30529"
El Vallarta,98,"5641 Hwy 129 N Pendergrass GA, 30567"
"Femi Southern Pines, LLC/ Femi Southern Pines Senior Living",90,"258 College Street Maysville  GA, 30558"
Fergusson's,100,"39 City Square Hoschton GA, 30548"
Flea Bite Cafe,90,"11661 Commerce Rd Athens GA, 30607"
Ganache Bakery & Bistro,93,"9155 Gillsville Maysville GA, 30558"
Georgia's Grill,91,"4855 Maysville Road Commerce GA, 30529"
Great Wall Chinese Restaurant,"88
Follow-Up","1030 Washington St. Jefferson  GA, 30549"
Gringo's,95,"1248 Washington Street Jefferson GA, 30549"
Gum Springs Elementary School,99,"600 Gum Springs Church Road Jefferson GA, 30549"
Hardee #1500507,"87
Follow-Up","44 Homer Road Commerce GA, 30529"
Hardee's #1505943,,"1700 Old Pendergrass Rd. Jefferson GA, 30549"
Higher Grounds Coffeehouse,93,"6700 Hwy 53; Fl 2 Braselton GA, 30517"
HILL HAVEN,,"880 RIDGEWAY RD. COMMERCE GA, 30529"
HOSCHTON CAFE,,"30 BELL AVENUE HOSCHTON GA, 30548"
Huck's Cafe,,"605 Homer Road Commerce GA, 30529"
Iron Pig BBQ,,"121 Epps Street Jefferson GA, 30549"
Jacks Brand /DBA Jacks Local Station,,"108 Brassie Lane Hoschton GA, 30548"
JACKSON CO. COMPREHENSIVE HIGH SCHOOL,99,"1668 WINDER HWY JEFFERSON GA, 30549"
JACKSON CO. SENIOR CITIZENS CR,97,"151 General Jackson Drive Jefferson GA, 30549"
Jackson County Correctional Institution,95,"265 IW Davis Rd Jefferson GA, 30549"
Jackson County Head Start,99,"215 General Jackson Drive Jefferson GA, 30549"
Jackson County Jail;  Correctional Resource Group,100,"555 Stan Evans Drive  Jefferson GA, 30549"
Jackson Pharmacy / Jittery Joe's Coffee,98,"55 Freedom Parkway Suite 101 Hoschton GA, 30548"
Jefferson Academy school,100,"99 Dragon Drive Jefferson GA, 30549"
JEFFERSON ELEMENTARY School,96,"415 HOSCHTON STREET JEFFERSON GA, 30549"
JEFFERSON HIGH SCHOOL,99,"575 WASHINGTON ST. JEFFERSON GA, 30549"
Jefferson House,93,"682 Athens St. Jefferson GA, 30549"
JEFFERSON MIDDLE SCHOOL,99,"100 Dragon Drive JEFFERSON GA, 30549"
Jefferson Pizza Kitchen,,"834 Gordon St. Jefferson GA, 30549"
Kesler's Cafe,92,"5165 US Hwy 441 Nicholson GA, 30565"
KFC/Taco Bell,,"4821 US Highway 129 N Jefferson GA, 30549"
Kroger #638 Starbucks,95,"1685 Old Pendergrass Road Jefferson GA, 30549"
La Costa Tacos Y Mariscos,92,"5641 US 129 Pendergrass GA, 30567"
La Hacienda II,92,"5395 Hwy 53 Ste 106 Braselton GA, 30517"
La Plasita Paleteria,,"5641 HWY 129 Pendergrass GA, 30657"
Laguna Mexican Grill,Follow-Up,"55 Freedom Pkwy Ste 107 Hoschton GA, 30548"
Linda's Kitchen,,"1402 Jackson Trail Rd Jefferson GA, 30549"
Little Caesars Pizza,91,"1681 Old Pendergrass Rd Jefferson GA, 30549"
Little Espresso's,,"5641 US Hwy 129 North Pendergrass GA, 30567"
Los Vaqueros Mexican Restaurant #2,90,"840 Gordon St.  Jefferson GA, 30549"
Main Street Snacks,95,"5641 HWY 129 Pendergrass GA, 30567"
Mayfield Dairy Farms Visitor Center,96,"1160 Broadway Ave. Braselton GA, 30517"
MAYSVILLE ELEMENTARY SCHOOL,,"9270 HWY 82 SPUR MAYSVILLE GA, 30558"
MCDONALD'S RESTAURANT #26778,90,"5888 GA HWY. 53 BRASELTON GA, 30517"
MCDONALD'S,,"4875 HWY. 129 N. JEFFERSON GA, 30549"
McDonalds,90,"5805  Hwy 124 West Hoschton GA, 30548"
Mike & Mollee's Ice Cream,99,"5641 Hwy 129 N Pendergrass GA, 30567"
Nana's Kitchen,91,"1965 Winder Hwy Jefferson GA,"
NORTH JACKSON ELEMENTARY SCHOOL,100,"1880  Old Gainesville Hwy TALMO GA, 30575"
Northridge Medical Center,94,"70 MEDICAL CENTER DR. COMMERCE GA, 30529"
Oasis #2,95,"5641 US 129 Pendergrass GA, 30567"
OASIS,95,"5641 HWY 129 N PENDERGRASS GA, 30567"
PAPA JOHN'S,91,"689 A SYCAMORE ST JEFFERSON GA, 30549"
Papa Johns,,"5641 US Hwy 129 Pendergrass GA, 30567"
PARHAM'S RESTAURANT,,"2195 N. ELM STREET COMMERCE GA, 30529"
Peking Chinese Restaurant,93,"6055 Hwy 124 Ste 101 Hoschton GA, 30548"
Peking Palace Chinese Gourmet Inc.,99,"271 S. Elm Street Commerce GA, 30529"
PIZZA HUT #4784,96,"1345 WASHINGTON ST. JEFFERSON GA, 30549"
Pizza Hut 4818,96,"6055 HWY 124 -Suite 103 Hoschton GA, 30548"
Polloway,95,"5641 HWY 129 North Pendergrass GA, 30567"
Pupuseria El Salvador,,"5641 US Hwy 129 N food court # 2 & # 3 Pendergrass GA, 30567"
Pura Enchilada Taqueria,92,"5641 US Hwy 129 Pendergrass  GA, 30518"
Quality Inn,,"4880 U S Highway 129 N Jefferson GA, 30549"
Railroad Cafe,,"16 Ila Rd Commerce Ga GA, 30529"
REDD'S QUE & STEW,93,"7226 S. APPLE VALLEY RD. JEFFERSON GA, 30549"
Sliced on Elm,90,"1769 N. Elm Street Commerce GA, 30530"
Sliced,,"21 City Square Hoschton GA, 30548"
South Jackson Elementary School,97,"1630 New Kings Bridge Road Athens GA, 30607"
SOUTHEAST TOYOTA DISTRIBUTORS,94,"P.O. BOX 89 COMMERCE GA, 30529"
Spice Hut- Kapil Sethi,90,"5641 US HWY 129N Pendergrass GA,"
Stonewalls BBQ,92,"6072 Hwy 53 Suite K Braselton GA, 30517"
Subway #68011,92,"4815 US Hwy 129  Jefferson GA, 30549"
Subway @ Highway 124,92,"4005  Hwy 124 W. Jefferson GA, 30549"
SUBWAY SANDWICHES & SALADS,,"42 E. PUBLIC SQUARE JEFFERSON GA, 30549"
Subway,95,"1819 North Elm Street Commerce GA, 30529"
Subway,93,"6072 Hwy 53 Ste. E Braselton GA, 30517"
Sugar & Spice Cafe,,"86 North Public Square Jefferson GA, 30549"
Sweets and Ices,100,"95 Lee Street  Jefferson GA, 30549"
Swirlee's Self Serve,100,"98 N. Public Square Jefferson GA, 30549"
Taco Bell,96,"6011 Hwy 53  Braselton GA, 30517"
Tacos y Antojitos Mi Mexico,95,"5641 HWY 129 N Pendergrass GA, 30567"
Talmo Market Grill,,"558 Main St. Talmo GA, 30575"
Tapps Sports Grill,90,"6750 Hwy 53 Suite 111,112,113 Braselton GA, 30517"
Taqueria Mi Tierra II,94,"11661 Commerce Road Athens GA, 30607"
TAQUERIA MI TIERRA,,"11661 COMMERCE RD. ATHENS GA, 30607"
Taquiza,94,"5641 US Hwy 129 Pendergrass GA, 30567"
Tavern 53 Entertainment,91,"115 Towne Center Parkway Hoschton GA, 30548"
Tea Garden,90,"6072 Hwy 53 Suite D Braselton GA, 30517"
The Chicken Point,,"5641 US Hwy 129 Pendergrass GA, 30517"
The Galloping Galette,95,"9924 Davis Street Suite 7 Braselton GA, 30517"
The Potter's House,92,"655 Potter's House Road Jefferson GA, 30549"
THE REDD HOUSE,,"2267 THYATIRA-BROCKTON RD JEFFERSON GA, 30549"
The Roman Oven,90,"6750 HWY 53 Braselton GA, 30517"
Tortilan,92,"5641 HWY 129 N Pendergrass GA, 30567"
U Save It Pharmacy,92,"1751 N. Elm Street Commerce GA, 30529"
"Uncle Chets BBQ & Catering, LLC.",93,"3181 Winder Hwy Jefferson GA, 30549"
WAFFLE HOUSE #633,94,"HWY. 53 @ I-85 BRASELTON GA, 30517"
WAFFLE HOUSE #994(South),,"4915 HWY 129 N JEFFERSON GA, 30549"
Warren's Snack Shack,,"627 Lee Street Jefferson GA, 30549"
WENDY'S,91,"5270 HWY. 129 NORTH JEFFERSON GA, 30549"
WENDY'S,92,"5950 HWY 53 BRASELTON GA, 30517"
WEST JACKSON ELEMENTARY SCHOOL,95,"391 EAST JEFFERSON HOSCHTON GA, 30548"
WEST JACKSON MIDDLE SCHOOL,91,"400 GUMSPRINGS CHURCH ROAD JEFFERSON GA, 30549"
Wheeler Shaved Ice,94,"800 Steven B. Tanger Blvd. Commerce GA, 30529"
Xaris' Cafe,95,"8761 Maysville Road Maysville GA, 30558"
Zaxby's,95,"100 Commons Drive Braselton GA, 30517"
ZAXBY'S,,"4853 U.S. 129 NORTH JEFFERSON GA, 30549"
