Column 1,Column 2,Column 3
,,
,,
,,
AMERICAN DELI,,"1880 EPPS BRIDGE PKWY # 108-109 ATHENS GA, 30606"
ATHENS ACADEMY,,"1281 SPARTAN LANE PO BOX 6548 ATHENS GA, 30606"
BARBERITOS,93,"# 2 SOUTH MAIN STREET SUITE 105 WATKINSVILLE GA, 30677"
BARBERITOS,,"1880 EPPS BRIDGE PKWY STE # 103 ATHENS GA, 30606"
BELLA NOCHE LLC,96,"2061 HOG MOUNTAIN ROAD STE A WATKINSVILLE GA, 30677"
BONE ISLAND GRILLHOUSE,95,"2055 OCONEE CONNECTOR ATHENS GA, 30606"
BURGER KING RESTAURANT,99,"2271 HOG MOUNTAIN ROAD WATKINSVILLE GA, 30677"
CATCH 22,,"1021 PARKWAY BLVD. SUITE 117 ATHENS GA, 30606"
CATERPILLAR CAFETERIA,,"250 DOZER DRIVE ATHENS GA, 30606"
"CHARLIE GRAINGERS HOTDOGS, BRISKET & BBQ",100,"1791 OCONEE CONNECTOR SUITE 420 ATHENS GA, 30606"
"CHEDDAR'S CASUAL CAFE, INC. D/B/A CHEDDAR'S SCRATCH KITCHEN",,"2040 OCONEE CONNECTOR ATHENS GA, 30606"
CHEF MING'S,90,"1720 EPPS BRIDGE PKWY SUITE # 107 ATHENS GA, 30606"
CHICK-FIL-A,,"1870 EPPS BRIDGE PARKWAY ATHENS GA, 30606"
Chick-N-Fix,95,"50 N MAIN ST WATKINSVILLE GA, 30677"
CHOPS & HOPS,93,"2 SOUTH MAIN STREET SUITE 112 WATKINSVILLE GA, 30677"
COLHAM FERRY ELEMENTARY SCH,94,"190 COLHAM FERRY RD WATKINSVILLE GA, 30677"
"COOK-OUT - ATHENS, INC.",96,"1020 JORDAN DRIVE ATHENS GA, 30606"
CORRECTIONAL RESOURCE GROUP @ OCONEE COUNTY JAIL,98,"1140 EXPERIMENT STATION ROAD WATKINSVILLE GA, 30677"
CRACKER BARREL  OLD COUNTRY STORE# 505,92,"1913 EPPS BRIDGE PKWY ATHENS GA, 30606"
Di'lishi Frozen Yogurt Bar,95,"1791 OCONEE CONNECTOR # 430 ATHENS GA, 30606"
Diablos Southwest Grill,94,"1791 Oconee Connector Suite # 560 Athens GA, 30606"
Dickeys Barbecue,91,"2131 Hog Mountain Rd Watkinsville GA, 30677"
DOMINICK'S,95,"1430 CAPITAL AVENUE SUITE 101 WATKINSVILLE GA, 30677"
DOMINO'S PIZZA,96,"2051 EXPERIMENT STATION ROAD WATKINSVILLE GA, 30677"
DONDEROS',96,"1305 JENNINGS MILL ROAD WATKINSVILLE GA, 30677"
DQ GRILL AND CHILL,,"2342 HOG MOUNTAIN ROAD WATKINSVILLE GA, 30677"
DUNKIN DONUTS,,"1850 EPPS BRIDGE PKWY. STE 201 ATHENS GA, 30606"
Dunkin' Donuts/Baskin-Robbins,94,"2081 Hog Mountain Road Watkinsville GA, 30677"
FIVE GUYS BURGERS AND FRIES,100,"1850 EPPS BRIDGE PARKWAY SUITE 217 ATHENS GA, 30606"
FOX'S PIZZA DEN,93,"2971 MONROE HIGHWAY SUITE 109 BOGART GA, 30622"
