Column 1,Column 2,Column 3
,,
,,
,,
Blazers of Lexington LLC,95,"640 Athens Rd Lexington GA, 30648"
Chicken Express,91,"643 Athens  Road Lexington GA, 30648"
COUNTRYSIDE CATERING,99,"20 BUSBIN DR. WINTERVILLE GA, 30683"
Golden Panda,94,"777 Athens Rd Ste. 105 Lexington GA, 30648"
OGLETHORPE CO. High School,100,"749 Athens Rd LEXINGTON GA, 30648"
OGLETHORPE COUNTY ELEMENTARY S,100,"LEXINGTON GA,"
Oglethorpe County Jail,96,"115 Buddy Faust Road Crawford GA, 30630"
Oglethorpe County Middle School,100,"270 Buddy Faust Rd Crawford GA, 30630"
OGLETHORPE COUNTY PRIMARY SCHOOL,100,"300 Comer Road LEXINGTON GA, 30648"
OGLETHORPE COUNTY SENIOR CENT.,100,"CRAWFORD GA, 30630"
PAPA'S PIZZA TO GO,98,"1151 ATHENS RD. CRAWFORD GA, 30630"
QUIET OAKS HEALTH CARE,94,"125 Quiet Oaks Dr. CRAWFORD GA, 30630"
Sanders Down Home BBQ,99,"3078 Elberton Rd Carlton GA, 30627"
Street Stix,91,"3334 Conger Rd Maxeys GA, 30671"
Subway,97,"726 Athens Rd Lexington GA, 30648"
Tacos Mexican #1,93,"777 Athens Rd Ste.  Lexington GA, 30648"
