Column 1,Column 2,Column 3
,,
,,
,,
ABBEY HOSPICE,100,"215 AZALEA COURT SOCIAL CIRCLE GA, 30025"
Amici Italian Cafe,,"116 N. Broad Street Monroe GA, 30655"
Angie's Whistle Stop,99,"4794-B Hwy 78 Loganville GA, 30052"
Applebee's Neighborhood Grill & Bar,90,"4789 Atlanta Highway Loganville GA, 30052"
APPLEBEE'S,,"145 Martin Luther King Jr. Boulevard MONROE GA, 30655"
Arby's,94,"2140 West Spring Street Monroe GA, 30655"
Athens Grill,,"2120 W. Spring Street Monroe GA, 30655"
Barberito's,93,"4743 Atlanta Hwy, Suite 120 Loganville GA, 30052"
BAY CREEK ELEMENTARY SCHOOL,100,"4303 LAWRENCEVILLE HWY LOGANVILLE GA, 30052"
BILLIE'S BLUE WILLOW INN,92,"294 N. CHEROKEE RD. SOCIAL CIRCLE GA, 30025"
BISCUITS & MORE-STANDRIDGE COLOR CORPORATION,,"1196 EAST HIGHTOWER TRAIL SOCIAL CIRCLE GA, 30025"
BLIMPIE-LOGANVILLE,Follow-Up,"4337 ATLANTA HWY LOGANVILLE GA, 30052"
Bojangles,95,"1104 North Broad Street Monroe GA, 30655"
BRUSTER'S-MONROE,94,"1409 Highway 11 North Monroe GA, 30656"
BUCKEYE'S,90,"116 MAIN STREET JERSEY GA, 30018"
Buckeye's Restaurant of Social Circle,,"170 S. Cherokee Road Social Circle GA, 30025"
BURGER KING-MONROE,91,"2050 West Spring Street Monroe GA, 30655"
Burger King,,"4740 Highway 78 Loganville GA, 30052"
BUTCHER BLOCK DELI & GRILL-MONROE,,"130 S BROAD STREET MONROE GA, 30655"
CAMPTON RESTAURANT,,"2670 HWY 11 N MONROE GA, 30656"
Captain D's,91,"1013 West Spring Street Monroe GA, 30655"
CARVER MIDDLE SCHOOL,98,"1065 GOOD HOPE RD. MONROE GA, 30656"
CHARLIE'S HOME COOKING,,"1102 West Spring Street Monroe GA, 30655"
CHECKERS-MONROE,95,"215-B HWY 138 MONROE GA, 30655"
CHECKERS-SOCIAL CIRCLE,91,"1265 A North Cherokee Rd Social Circle GA, 30025"
Cherry Scoop Ice Cream,93,"4337 Atlanta Hwy, Suite 100 Loganville GA, 30052"
CHICK-FIL-A -MONROE,,"620 Georgia Highway 138 Monroe GA, 30655"
Chick-fil-A,93,"4321 Atlanta Hwy Loganville GA, 30052"
CHILI'S GRILL & BAR,94,"4340 Atlanta Highway Loganville GA, 30052"
Church's Chicken,91,"503 North Broad Street Monroe GA, 30655"
Cielo Blue Mexican Grill & Cantina,92,"4763 Atlanta Hwy, Suite 390 Loganville GA, 30052"
Cocina Fuentes Inc,"93
Follow-Up","500 Great Oakes Drive Ste. 1 Monroe GA, 30655"
Coffee Camper Co,96,"101 North Broad Street Ste B Monroe GA, 30655"
Corn Dawgs - Corn Maze (Concessions),94,"995 Leone Ave Loganville GA, 30052"
CUP & SAUCER DINER,95,"4408 LAWRENCEVILLE ROAD LOGANVILLE GA, 30052"
DAIRY QUEEN-LOGANVILLE,90,"4726 HWY. 78 LOGANVILLE GA, 30052"
DAIRY QUEEN-MONROE,93,"614 E. SPRING ST. MONROE GA, 30655"
